scenario_id,scenario_description,tcomm,domain_id,ale_inherent,ale_residual,amount_saved,reduction_pct,control_cost,net_savings,rosi
SINPE-001,SINPE del Segmento 1,Ciberdelincuentes,SINPE,11006965.104217088,5944520.181689899,5062444.922527188,0.45993104135377144,7000,5055444.922527188,72220.6417503884
SINPE-002,SINPE del Segmento 2,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
SINPE-003,SINPE del Segmento 3,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
SINPE-004,SINPE del Segmento 4,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
SINPE-005,SINPE del Segmento 5,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
SINPE-006,SINPE del Segmento 6,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
SINPE-007,SINPE del Segmento 7,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
SINPE-008,SINPE del Segmento 8,Ciberdelincuentes,SINPE,5646017.249171955,3016974.8890972226,2629042.360074732,0.4656454707892201,0,2629042.360074732,NA
