scenario_id,scenario,tcomm,tef,tc,lm,domain_id,controls
SINPE-001,SINPE del Segmento 1,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79","dist:lnorm|params:meanlog=2.681, sdlog=3.128",SINPE,"CTRL-0101, CTRL-0102, CTRL-0103, CTRL-0104, CTRL-0105, CTRL-0106"
SINPE-002,SINPE del Segmento 2,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0201, CTRL-0202, CTRL-0203, CTRL-0204, CTRL-0205, CTRL-0206"
SINPE-003,SINPE del Segmento 3,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0301, CTRL-0302, CTRL-0303, CTRL-0304, CTRL-0305, CTRL-0306"
SINPE-004,SINPE del Segmento 4,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0401, CTRL-0402, CTRL-0403, CTRL-0404, CTRL-0405, CTRL-0406"
SINPE-005,SINPE del Segmento 5,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0501, CTRL-0502, CTRL-0503, CTRL-0504, CTRL-0505, CTRL-0506"
SINPE-006,SINPE del Segmento 6,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0601, CTRL-0602, CTRL-0603, CTRL-0604, CTRL-0605, CTRL-0606"
SINPE-007,SINPE del Segmento 7,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0701, CTRL-0702, CTRL-0703, CTRL-0704, CTRL-0705, CTRL-0706"
SINPE-008,SINPE del Segmento 8,Ciberdelincuentes,"dist:pert|params:min=1006.54,mode=5959.39,max=11680.36","dist:pert|params:min=0.21,mode=0.5,max=0.79",[requiere datos de saldos para ajuste],SINPE,"CTRL-0801, CTRL-0802, CTRL-0803, CTRL-0804, CTRL-0805, CTRL-0806"
